"CodeSystem Code","CodeSystem Name","Valueset Category Name","Valueset Name","Concept Code","Concept Name"
" 2.16.840.1.113883.6.12","CPT-4","Drug abuse information sensitivity","Substance-Abuse-Procedure-CPT-4","S9475","Ambulatory setting substance abuse treatment or detoxification services, per diem"
" 2.16.840.1.113883.6.12","CPT-4","Drug abuse information sensitivity","Substance-Abuse-Procedure-CPT-4","H0014","Alcohol and/or drug services; ambulatory detoxification"
" 2.16.840.1.113883.6.12","CPT-4","Drug abuse information sensitivity","Substance-Abuse-Procedure-CPT-4","H0013","Alcohol and/or drug services; acute detoxification (residential addiction program outpatient)"
" 2.16.840.1.113883.6.12","CPT-4","Drug abuse information sensitivity","Substance-Abuse-Procedure-CPT-4","H0012","Alcohol and/or drug services; sub-acute detoxification (residential addiction program outpatient)"
" 2.16.840.1.113883.6.12","CPT-4","Drug abuse information sensitivity","Substance-Abuse-Procedure-CPT-4","H0011","Alcohol and/or drug services; acute detoxification (residential addiction program inpatient)"
" 2.16.840.1.113883.6.12","CPT-4","Drug abuse information sensitivity","Substance-Abuse-Procedure-CPT-4","H0010","Alcohol and/or drug services; sub-acute detoxification (residential addiction program inpatient)"
" 2.16.840.1.113883.6.12","CPT-4","Drug abuse information sensitivity","Substance-Abuse-Procedure-CPT-4","H0009","Alcohol and/or drug services; acute detoxification (hospital inpatient)"
" 2.16.840.1.113883.6.12","CPT-4","Drug abuse information sensitivity","Substance-Abuse-Procedure-CPT-4","H0008","Alcohol and/or drug services; sub-acute detoxification (hospital inpatient)"
" 2.16.840.1.113883.6.12","CPT-4","Drug abuse information sensitivity","Substance-Abuse-Procedure-CPT-4","4306F","Patient counseled regarding psychosocial and pharmacologic treatment options for opioid addiction (SUD)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87906,"Infectious Agent Genotype Analysis By Nucleic Acid (Dna Or Rna); HIV-1, Other Region (Eg, Integrase, Fusion)"
